gwname,gwtime,gwstat,grbname,grbtime,rank_stat,false_alarm_rate,exclusion_distance
200205_201716,2020-02-05 20:17:16.676025391,4.175298,GRB200205845,2020-02-05 20:17:23.328000069,5.528783753716669,0.4541418130897374,280.55325715605505
170330_222948,2017-03-30 22:29:48.292968750,6.867164,GRB170330A,2017-03-30 22:29:51.341320038,6.739228680385903,0.5027973799667818,190.52135434094816
191213_060532,2019-12-13 06:05:32.067871094,4.082384,GRB191213254,2019-12-13 06:05:33.022000074,4.145176328499463,1.09555860064947,285.90965729603806
151001_082025,2015-10-01 08:20:25.612304688,3.2163,GRB151001348,2015-10-01 08:20:35.168999910,5.215897080267258,1.370516371270973,156.2062745938146
190404_070114,2019-04-04 07:01:14.184570313,1.717899,GRB190404293,2019-04-04 07:01:21.924999952,3.880539619770472,1.5011502224192774,341.48223231564964
191110_140525,2019-11-10 14:05:25.402832031,0.3387718,GRB191110587,2019-11-10 14:05:34.993000031,3.164339074608857,1.8584115044670897,231.37908881112367
191213_040623,2019-12-13 04:06:23.358642578,2.728866,GRB191213A,2019-12-13 04:06:23.920500040,1.8404638921710823,3.4072340667634693,363.1039875598857
190701_094513,2019-07-01 09:45:13.635498047,3.444505,GRB190701A,2019-07-01 09:45:20.833659887,1.913865551682548,3.68486306626986,295.3909146543812
170723_161524,2017-07-23 16:15:24.278564453,1.803131,GRB170723677,2017-07-23 16:15:27.855000019,2.193204131417761,4.816709381260412,175.73622675786106
170409_024157,2017-04-09 02:41:57.491943359,1.875275,GRB170409112,2017-04-09 02:42:00.490000010,2.07236598382785,5.01633635289114,194.34777031363822
190613_040717,2019-06-13 04:07:17.935302734,1.669169,GRB190613A,2019-06-13 04:07:18.310159922,0.556980575183081,6.151595625649637,342.66167301448894
200216_090724,2020-02-16 09:07:24.385253906,0.6233937,GRB200216380,2020-02-16 09:07:25.030999899,-0.0029471862573925,7.1843362081051785,274.1770063848395
190827_111245,2019-08-27 11:12:45.835693359,1.306569,GRB190827467,2019-08-27 11:12:48.546000004,-0.4913490978043833,8.886721558670795,75.54535568116172
190508_234118,2019-05-08 23:41:18.096435547,0.5879347,GRB190508987,2019-05-08 23:41:24.148000002,-0.5055082001351957,8.927919088321472,389.064505872689
190628_123052,2019-06-28 12:30:52.782470703,0.3604434,GRB190628521,2019-06-28 12:30:55.319999933,-0.8263292631702757,9.796480024092807,313.44207308123737
170402_065048,2017-04-02 06:50:48.413818359,1.078557,GRB170402285,2017-04-02 06:50:54.391000032,-0.7226789936238385,11.150165992414685,184.17107346256904
190726_152445,2019-07-26 15:24:45.007812500,0.65395,GRB190726642,2019-07-26 15:24:53.609999895,-1.329848395327457,11.153073234187525,183.4214490086369
151029_074936,2015-10-29 07:49:36.257080078,4.217384,GRB151029A,2015-10-29 07:49:38.965140104,-0.4800125029695401,11.48942117544319,64.70477326984357
191119_061605,2019-11-19 06:16:05.898925781,5.132669,GRB191119261,2019-11-19 06:16:07.174999952,-2.4024094918504604,13.675169776376157,192.06235479982038
170424_101224,2017-04-24 10:12:24.813476563,1.744711,GRB170424425,2017-04-24 10:12:30.753999949,-1.725180756890705,14.239758913587417,128.77847175272564
190623_110326,2019-06-23 11:03:26.475097656,0.6670426,GRB190623461,2019-06-23 11:03:27.095000029,-2.7044713696416967,14.667295645099559,237.55834683102862
170626_093721,2017-06-26 09:37:21.972900391,0.3760568,GRB170626A,2017-06-26 09:37:23.124540091,-2.60884363547696,17.099586859938537,136.84702873143326
200317_004025,2020-03-17 00:40:25.055419922,0.6219448,GRB200317028,2020-03-17 00:40:30.487999916,-4.4330969188164575,17.4628061350318,130.59676193208406
200117_122400,2020-01-17 12:24:00.887939453,2.896282,GRB200117517,2020-01-17 12:24:06.532000065,-4.91067694903705,18.012048521094584,212.6448493889192
190919_181958,2019-09-19 18:19:58.394287109,0.7263222,GRB190919764,2019-09-19 18:20:02.655999899,-6.721533192779376,20.20726640747379,393.66581359448577
190805_044554,2019-08-05 04:45:54.454589844,3.164267,GRB190805199,2019-08-05 04:46:00.970000029,-10.779748341181104,22.38317853565087,203.9638875583264
190422_160459,2019-04-22 16:04:59.637695313,4.248449,GRB190422670,2019-04-22 16:05:04.520999908,-11.086381064981758,22.499945498388588,370.39512432556876
170825_120003,2017-08-25 12:00:03.797363281,0.2448531,GRB170825500,2017-08-25 12:00:05.997999907,-6.668362782666416,23.792909132956275,185.62120405289573
170323_012316,2017-03-23 01:23:16.403076172,4.556538,GRB170323058,2017-03-23 01:23:23.269000053,-9.47395683756825,25.074520258746976,121.3308460337439
190824_144634,2019-08-24 14:46:34.029785156,0.7742089,GRB190824A,2019-08-24 14:46:39.574480057,-inf,27.038011841447577,292.15222786825296
151027_224040,2015-10-27 22:40:40.125732422,7.388242,GRB151027B,2015-10-27 22:40:40.667479992,-inf,30.566532879779643,182.3902440659943
170629_125329,2017-06-29 12:53:29.332763672,3.580701,GRB170629A,2017-06-29 12:53:33.156640053,-inf,32.110699617569956,194.55645360144302
